_id,player_id,num_total_op,num_total_6op,num_limit_op,banner,server_region,account_level,,date,num_up
1,893330664,110,3,1,Nian,WW,85,,2020/7/29,2
2,59923582,22,1,1,Nian,WW,72,,2020/7/29,1
3,760846674,28,1,0,Nian,WW,75,,2020/7/29,0
4,600091069,132,6,0,Nian,WW,86,,2020/7/29,2
5,5296852,209,9,3,Nian,WW,66,,2020/7/29,4
6,83736899,192,6,1,W,CN,107,,2020/5/1,4
7,369489054,520,20,3,Rosmontis,CN,120,,2020/11/1,12
8,30964518,123,4,1,W,CN,89,,2020/5/3,2
9,86840257,103,2,0,W,CN,108,,2020/5/1,1
10,88866820,150,5,1,Nian,WW,101,,2020/7/30,3
11,703311931,184,4,1,W,CN,110,,2020/5/4,1
12,89024059,151,4,1,W ,CN,120,,2020/5/1,2
13,618217454,311,11,5,W,CN,48,,2020/5/1,9
14,96527693,90,4,1,Nian,WW,102,,2020/8/1,2
15,74861113,910,77,13,W,CN,120,,2020/5/1,19
16,97637764,196,5,2,W,CN,112,,2020/5/1,4
17,919201188,102,4,1,W,CN,120,,2020/5/9,3
18,40210380,76,3,1,Nian,CN,89,,2020/1/16,1
19,65364973,60,1,0,Nian,CN,90,,2020/1/16,0
20,74113800,151,3,1,Rosmontis,CN,86,,2020/11/1,3
21,513951846,107,4,0,Rosmontis,CN,78,,2020/11/2,2
22,97401959,84,2,1,W,CN,82,,2020/5/12,1
23,87900644,50,3,1,Nian,CN,95,,2020/1/20,2
24,87900644,102,3,0,W,CN,105,,2020/5/1,2
25,31539913,256,5,1,W,CN,111,,2020/5/2,2
26,650159932,105,1,1,Nian,CN,65,,2020/1/17,1
27,23738305,299,7,1,Rosmontis,CN,114,,2020/11/1,6
28,87900644,92,2,1,Rosmontis,CN,117,,2020/11/1,1
29,799018212,75,2,1,Rosmontis,CN,100,,2020/11/1,1
30,4411303,110,3,2,Rosmontis,CN,109,,2020/11/1,3
31,387985225,110,2,1,Rosmontis,CN,96,,2020/12/14,2
32,77804508,210,6,1,Rosmontis,CN,118,,2020/11/2,4
33,807751656,95,3,1,Nian,CN,83,,2020/1/29,2
34,625592659,305,8,1,Nian,CN,120,,2020/1/16,5
35,4879174,213,7,2,Rosmontis,CN,100,,2020/11/2,4
36,152444019,215,3,0,Rosmontis,CN,91,,2020/11/1,1
37,19481168,35,1,1,Rosmontis,CN,99,,2020/11/1,1
38,22371329,138,3,0,Rosmontis,CN,112,,2020/11/3,0
39,544535014,11,1,1,Rosmontis,CN,101,,2020/11/1,1
40,505076,48,0,0,Rosmontis,CN,90,,2020/11/1,0
41,42941616,101,2,1,Rosmontis,CN,105,,2020/11/1,1
42,7664665,111,5,2,Rosmontis,CN,62,,2020/11/1,4
43,89024059,161,4,1,Rosmontis,CN,120,,2020/11/1,2
44,23822347,133,5,1,W,CN,120,,2020/5/1,5
45,36772570,290,8,1,W,CN,73,,2020/5/1,5
46,81329690,173,3,0,W,CN,81,,2020/5/1,0
47,226851640,51,3,1,Rosmontis,CN,89,,2020/11/1,2
48,37696826,131,4,0,Rosmontis,CN,38,,2020/11/11,2
49,251623291,97,3,2,Rosmontis,CN,106,,2020/11/1,3
50,35961929,191,7,1,Rosmontis,CN,107,,2020/11/1,4
51,83585608,89,2,1,Nian,WW,96,,2020/7/29,1
52,950823461,42,1,1,Nian,WW,110,,2020/7/30,1
53,67602736,100,3,1,Nian,WW,113,,2020/7/30,1
54,1062314,180,6,0,Nian,WW,86,,2020/7/29,5
55,60380890,240,5,0,Nian,WW,88,,2020/7/29,2
56,46349643,20,1,1,Nian,WW,117,,2020/7/29,1
57,533068584,110,5,1,Nian,WW,119,,2020/7/29,1
58,87937106,300,6,0,W,CN,85,,2020/5/1,2
59,77406283,40,2,1,W,CN,115,,2020/5/1,1
60,18303585,220,7,0,W,CN,92,,2020/5/1,3
61,41706699,140,3,1,Nian,WW,75,,2020/7/29,1
62,62212179,290,8,1,Nian,WW,60,,2020/7/30,3
63,874536601,30,1,1,W,CN,95,,2020/5/2,1
64,83484076,110,3,1,Nian,WW,91,,2020/7/29,1
65,41227018,220,4,0,W,CN,97,,2020/5/2,1
66,32702743,250,5,1,W,CN,46,,2020/5/1,2
67,77412831,70,1,1,W,CN,96,,2020/5/1,1
68,67941519,30,1,1,Nian,WW,52,,2020/7/29,1
69,138300798,70,2,1,W,CN,96,,2020/5/1,2
70,81323270,129,5,2,W,CN,88,,2020/5/1,5
71,33158977,80,2,1,W,CN,54,,2020/5/1,2
72,552621725,20,1,1,Nian,WW,88,,2020/8/1,1
73,431445336,350,8,0,Nian,WW,49,,2020/7/29,4
74,23891387,140,5,1,W,CN,60,,2020/5/1,3
75,326118005,310,6,0,Nian,WW,105,,2020/7/29,2
76,76759764,20,2,1,W,CN,96,,2020/5/1,1
77,74727311,80,3,1,W,CN,78,,2020/5/1,3
78,50932562,210,6,1,W,CN,109,,2020/5/1,2
79,39412261,150,5,2,W,CN,57,,2020/5/1,2
80,,180,5,1,W,CN,77,,2020/5/1,2
81,,310,6,1,Nian,WW,47,,2020/7/29,1
82,,270,6,2,Nian,CN,81,,2020/1/2,3
83,,230,9,1,W,CN,88,,2020/5/1,4
84,,160,5,1,Nian,WW,82,,2020/7/29,3
85,,20,1,1,Nian,WW,90,,2020/7/29,1
86,,130,3,1,W,CN,103,,2020/5/1,2
87,,50,1,1,W,CN,73,,2020/5/1,1
88,,293,7,1,Nian,WW,112,,2020/7/29,3
89,,170,5,1,W,CN,56,,2020/5/1,2
90,,60,3,1,Rosmontis,CN,77,,2020/11/1,2
91,,56,2,1,Rosmontis,CN,114,,2020/11/1,2
92,,100,2,1,Rosmontis,CN,79,,2020/11/1,2
93,,30,2,1,Rosmontis,CN,33,,2020/11/1,1
94,,190,8,1,Rosmontis,CN,104,,2020/11/1,5
95,,40,2,1,Rosmontis,CN,64,,2020/11/1,1
96,,42,1,1,Rosmontis,CN,46,,2020/11/1,1
97,,200,5,0,Rosmontis,CN,56,,2020/11/2,1
98,,120,4,1,Nian,WW,46,,2020/7/30,1
99,,70,2,1,W,CN,108,,2020/5/1,1
100,,35,2,1,W,CN,114,,2020/5/1,1
