_id,pull_time,prob_offi,prob_player
1,10,0.0644,0.1101
2,20,0.1328,0.2028
3,30,0.1916,0.2864
4,40,0.2462,0.3675
5,50,0.2934,0.4376
6,60,0.4271,0.5343
7,70,0.5061,0.6004
8,80,0.5428,0.6584
9,90,0.5875,0.6907
10,100,0.6277,0.7302
11,110,0.6683,0.7696
12,120,0.7088,0.8073
13,130,0.7415,0.8244
14,140,0.7803,0.8513
15,150,0.7952,0.8715
16,160,0.8152,0.8866
17,170,0.8354,0.9055
18,180,0.8565,0.9176
19,190,0.8769,0.9258
20,200,0.8881,0.9359
21,210,0.8958,0.9446
22,220,0.9099,0.9544
23,230,0.9205,0.9579
24,240,0.9285,0.9644
25,250,0.938,0.9692
26,260,0.9409,0.9729
27,270,0.9464,0.9775
28,280,0.9503,0.9786
29,290,0.962,0.9828
30,300,0.9647,0.985
31,310,0.9681,0.9847
32,320,0.9711,0.9899
33,330,0.9717,0.992
34,340,0.975,
35,350,0.9759,
36,360,0.9814,
37,370,0.9835,
38,380,0.9856,
39,390,0.9864,
40,400,0.9908,
